
 1,            1,             0
 2,            1,       0.33333
 3,      0.66667,             0
 4,      0.66582,       0.33413
 5,            1,       0.66667
 6,      0.33333,             0
 7,      0.33206,       0.33522
 8,      0.66456,       0.66798
 9,      0.33157,       0.66974
 10,            0,             0
 11,            1,             1
 12,      0.66667,             1
 13,            0,       0.33333
 14,      0.33333,             1
 15,            0,       0.66667
 16,            0,             1
